customer_id,name,city,age,email
1,Priya,Surat,35,priya1@gmail.com
2,Sneha,Delhi,26,sneha2@gmail.com
3,Priya,Vadodara,23,priya3@gmail.com
4,Harsh,Indore,20,harsh4@gmail.com
5,Aditya,Pune,31,aditya5@gmail.com
6,Sneha,Vadodara,56,sneha6@gmail.com
7,Aditya,Vadodara,30,aditya7@gmail.com
8,Meera,Indore,32,meera8@gmail.com
9,Arjun,Rajkot,35,arjun9@gmail.com
10,Aditya,Mumbai,45,aditya10@gmail.com
11,Rohit,Ahmedabad,27,rohit11@gmail.com
12,Mohit,Jaipur,24,mohit12@gmail.com
13,Neha,Indore,24,neha13@gmail.com
14,Anjali,Jaipur,56,anjali14@gmail.com
15,Aman,Surat,47,aman15@gmail.com
16,Meera,Pune,42,meera16@gmail.com
17,Neha,Vadodara,36,neha17@gmail.com
18,Kavya,Jaipur,54,kavya18@gmail.com
19,Mohit,Pune,20,mohit19@gmail.com
20,Sneha,Ahmedabad,23,sneha20@gmail.com
21,Sneha,Pune,42,sneha21@gmail.com
22,Aman,Nagpur,58,aman22@gmail.com
23,Anjali,Mumbai,41,anjali23@gmail.com
24,Anjali,Delhi,60,anjali24@gmail.com
25,Aman,Pune,56,aman25@gmail.com
26,Riya,Vadodara,33,riya26@gmail.com
27,Riya,Nagpur,42,riya27@gmail.com
28,Aman,Vadodara,32,aman28@gmail.com
29,Rohit,Surat,32,rohit29@gmail.com
30,Rahul,Jaipur,43,rahul30@gmail.com
31,Aman,Pune,31,aman31@gmail.com
32,Harsh,Jaipur,31,harsh32@gmail.com
33,Kriti,Indore,59,kriti33@gmail.com
34,Arjun,Mumbai,34,arjun34@gmail.com
35,Karan,Delhi,53,karan35@gmail.com
36,Meera,Ahmedabad,55,meera36@gmail.com
37,Nisha,Rajkot,43,nisha37@gmail.com
38,Anjali,Delhi,26,anjali38@gmail.com
39,Yash,Nagpur,23,yash39@gmail.com
40,Rahul,Pune,27,rahul40@gmail.com
41,Riya,Indore,56,riya41@gmail.com
42,Neha,Indore,42,neha42@gmail.com
43,Kavya,Nagpur,51,kavya43@gmail.com
44,Aman,Vadodara,18,aman44@gmail.com
45,Priya,Vadodara,35,priya45@gmail.com
46,Rohit,Pune,36,rohit46@gmail.com
47,Nisha,Mumbai,47,nisha47@gmail.com
48,Aditya,Ahmedabad,50,aditya48@gmail.com
49,Riya,Vadodara,24,riya49@gmail.com
50,Pooja,Vadodara,56,pooja50@gmail.com
51,Mohit,Mumbai,41,mohit51@gmail.com
52,Riya,Vadodara,51,riya52@gmail.com
53,Aditya,Rajkot,38,aditya53@gmail.com
54,Kriti,Surat,25,kriti54@gmail.com
55,Anjali,Ahmedabad,33,anjali55@gmail.com
56,Rahul,Delhi,54,rahul56@gmail.com
57,Neha,Pune,49,neha57@gmail.com
58,Neha,Vadodara,26,neha58@gmail.com
59,Karan,Nagpur,53,karan59@gmail.com
60,Riya,Ahmedabad,51,riya60@gmail.com
61,Kavya,Indore,31,kavya61@gmail.com
62,Meera,Delhi,37,meera62@gmail.com
63,Vikas,Jaipur,46,vikas63@gmail.com
64,Yash,Nagpur,25,yash64@gmail.com
65,Sneha,Delhi,22,sneha65@gmail.com
66,Rohit,Surat,55,rohit66@gmail.com
67,Meera,Delhi,55,meera67@gmail.com
68,Sneha,Surat,22,sneha68@gmail.com
69,Rahul,Delhi,22,rahul69@gmail.com
